iShares Russell 3000 ETF
Fund Holdings as of,"Feb 02, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","37,990,348.38","0.29","37,990,348.38","225,891.00","168.18","United States","NASDAQ","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","36,248,611.58","0.28","36,248,611.58","94,454.00","383.77","United States","NASDAQ","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","36,201,123.54","0.28","36,201,123.54","531,822.00","68.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","35,836,375.90","0.28","35,836,375.90","323,930.00","110.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","35,739,656.82","0.27","35,739,656.82","388,559.00","91.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","35,311,370.49","0.27","35,311,370.49","180,059.00","196.11","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","34,493,597.06","0.27","34,493,597.06","1,934,582.00","17.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","34,399,466.01","0.26","34,399,466.01","9,659.00","3,561.39","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","34,264,583.90","0.26","34,264,583.90","156,110.00","219.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","33,423,447.64","0.26","33,423,447.64","86,174.00","387.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","32,919,576.10","0.25","32,919,576.10","96,242.00","342.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","32,478,819.91","0.25","32,478,819.91","157,351.00","206.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","32,384,710.44","0.25","32,384,710.44","321,564.00","100.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","32,298,799.50","0.25","32,298,799.50","249,894.00","129.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","31,815,144.30","0.24","31,815,144.30","547,122.00","58.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","31,710,455.52","0.24","31,710,455.52","64,046.00","495.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","31,655,536.00","0.24","31,655,536.00","40,172.00","788.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","31,571,363.30","0.24","31,571,363.30","150,785.00","209.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","31,442,082.15","0.24","31,442,082.15","358,805.00","87.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","30,412,393.90","0.23","30,412,393.90","311,890.00","97.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","29,953,331.80","0.23","29,953,331.80","35,714.00","838.70","United States","NASDAQ","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","29,550,083.76","0.23","29,550,083.76","69,582.00","424.68","United States","NASDAQ","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","29,035,209.80","0.22","29,035,209.80","107,498.00","270.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","28,812,652.42","0.22","28,812,652.42","518,773.00","55.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","28,668,094.71","0.22","28,668,094.71","158,659.00","180.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","28,426,369.83","0.22","28,426,369.83","325,729.00","87.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","28,383,616.67","0.22","28,383,616.67","305,233.00","92.99","United States","NASDAQ","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","28,353,960.72","0.22","28,353,960.72","368,856.00","76.87","United States","NASDAQ","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","28,226,369.60","0.22","28,226,369.60","71,896.00","392.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","28,202,443.92","0.22","28,202,443.92","81,732.00","345.06","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","27,873,686.68","0.21","27,873,686.68","112,028.00","248.81","United States","NASDAQ","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","27,778,201.80","0.21","27,778,201.80","195,828.00","141.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","27,167,476.32","0.21","27,167,476.32","110,128.00","246.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","26,907,209.16","0.21","26,907,209.16","552,396.00","48.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","26,273,168.46","0.20","26,273,168.46","27,797.00","945.18","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","26,061,888.32","0.20","26,061,888.32","338,642.00","76.96","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","25,951,365.30","0.20","25,951,365.30","135,093.00","192.10","United States","NASDAQ","USD","1.00","USD","-"
